Municipio;pop_censo;Escolarizacao;IDHM;Mortalidade_infantil;PIB;2020;2021;2022;2023;2024
Abaetetuba;158188;97.7;0.628;20.39;12150.04;1.224493411;1.696826395;0.406921289;0.314463482;0.564819261
Abel Figueiredo;6136;97.6;0.622;0;13998.91;1.213128051;2.072079953;2.725940353;1.533004836;0.174911419
Acara;59023;92.9;0.506;13.8;25714.69;15.66707661;10.3139448;5.708188705;8.364741385;12.63187865
Afua;37765;88.4;0.489;18.2;11130.94;0;0;0.164651305;0.272033269;0
Agua Azul do Norte;18080;90.2;0.564;13.7;23136.75;8.132146407;5.368459519;4.499863602;3.913168435;3.700547922
Alenquer;69377;95.6;0.564;15.15;12988.38;32.85926484;31.91596845;29.03525506;22.29081989;34.89417561
Almeirim;34280;95.8;0.642;19.2;20220.01;24.70141537;31.54043404;18.38441757;22.80659203;29.93158968
Altamira;126279;93.1;0.665;13.58;26595.8;797.6865334;765.528786;626.021544;317.6962792;166.6303793
Anajas;28011;90.6;0.484;10.17;8607.88;0.895130069;0.971869276;0.133156585;0.196556899;0.075877875
Ananindeua;478778;96.7;0.718;14.49;16542.68;0;0;0;0;0
Anapu;31850;94.2;0.548;17.15;20061.15;111.948689;133.7436954;108.2394506;95.72291368;56.84979123
Augusto Correa;44573;93.6;0.52;18.62;7750.19;0;0;0;0.306058337;0
Aurora do Para;23774;87.3;0.519;11.4;9584.87;3.106777818;2.593398466;2.116373694;2.871654912;4.870145932
Aveiro;18290;96.1;0.541;28.74;9254.57;35.01413699;55.5773069;53.07970236;29.35710808;51.49768167
Bagre;31892;82.7;0.471;21.62;7837.69;3.262905086;6.139765412;3.423215063;2.525459542;9.166950248
Baiao;51641;91.4;0.578;22.3;11367.06;6.43789553;14.62681105;8.888711276;8.636148042;8.245787713
Bannach;4031;95.2;0.594;0;39829.41;2.20732687;4.973123689;4.013136999;2.577423295;0.448817303
Barcarena;126650;97.3;0.662;13.12;71473.92;2.595801272;1.970714206;0.558981938;0.26226207;0.924895262
Belem;1303403;96.1;0.746;14.81;22216.33;0.226949357;0.476675017;0.070966224;0;0.082399645
Belterra;18099;96.6;0.588;11.4;13218.69;4.472799635;16.35726422;12.7816299;7.535339267;5.789922864
Benevides;63567;97.4;0.665;11.63;30668.86;0.312606779;0.138765129;0.352607;0;0.069350598
Bom Jesus do Tocantins;18005;94.8;0.589;8.4;14134.87;19.12632503;7.988915615;6.514273466;5.859158131;3.00917717
Bonito;12622;95;0.546;10.05;12325.25;0.239814838;0.198067988;0;0.318025248;0
Braganca;123082;96.1;0.6;11.59;10679;0.404786296;0.301326951;0;0.48179445;0.125294366
